customerID,SeniorCitizen,tenure,MonthlyCharges,flag_gender_Male,flag_Partner,flag_Dependents,flag_PhoneService,flag_MultipleLines,flag_OnlineSecurity,flag_OnlineBackup,flag_DeviceProtection,flag_TechSupport,flag_StreamingTV,flag_StreamingMovies,flag_PaperlessBilling,flag_InternetService,flag_automatic_payment,num_produtos,media_mothly_charges,num_produtos_seguranca,InternetService_DSL,InternetService_Fiber_optic,InternetService_No,Contract_Month_to_month,Contract_One_year,Contract_Two_year,PaymentMethod_Bank_transfer_automatic,PaymentMethod_Credit_card_automatic,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check
7813-ZGGAW,1,31,96.6,1,0,0,1,1,0,0,1,1,1,0,1,1,0,6,16.099999999999998,1,False,True,False,True,False,False,True,False,False,False
4776-XSKYQ,0,12,30.25,0,1,1,0,0,0,0,0,1,0,0,0,1,0,2,15.125,0,True,False,False,False,True,False,False,True,False,False
6859-RKMZJ,0,11,55.05,1,1,0,1,0,0,0,0,0,1,0,1,1,0,3,18.349999999999998,0,True,False,False,True,False,False,True,False,False,False
2403-BCASL,1,41,111.95,1,1,1,1,1,0,1,1,1,1,1,1,1,1,8,13.99375,2,False,True,False,False,True,False,False,False,True,False
9919-KNPOO,0,21,94.3,0,1,0,1,1,0,0,0,0,1,1,1,1,1,5,18.86,0,False,True,False,True,False,False,False,False,True,False
0584-BJQGZ,0,25,78.35,0,0,0,1,1,1,1,1,1,1,0,1,1,0,8,9.79375,3,True,False,False,True,False,False,True,False,False,False
6386-SZZKH,0,49,107.95,0,1,1,1,1,0,1,1,1,1,1,1,1,0,8,13.49375,2,False,True,False,False,False,True,True,False,False,False
4065-JJAVA,0,1,49.5,0,0,0,1,0,0,1,0,0,0,0,0,1,1,3,16.5,1,True,False,False,True,False,False,False,False,True,False
2988-QRAJY,0,69,110.05,1,0,0,1,1,1,1,1,0,1,1,1,1,0,8,13.75625,3,False,True,False,False,False,True,False,True,False,False
0017-DINOC,0,54,45.2,1,0,0,0,0,1,0,0,1,1,0,0,1,0,4,11.3,1,True,False,False,False,False,True,False,True,False,False
0375-HVGXO,0,1,34.7,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,17.35,0,True,False,False,True,False,False,False,False,True,False
9231-ZJYAM,1,4,78.85,0,0,0,1,0,0,0,0,0,1,0,1,1,1,3,26.28333333333333,0,False,True,False,True,False,False,False,False,True,False
8922-NPKBJ,0,42,19.35,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,19.35,0,False,False,True,False,False,True,False,False,False,True
2577-GVSIL,0,35,73.45,1,1,1,1,1,0,0,0,1,1,1,1,1,0,6,12.241666666666667,0,True,False,False,False,True,False,True,False,False,False
5743-KHMNA,0,71,25.55,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,12.775,0,False,False,True,False,False,True,True,False,False,False
1197-BVMVG,1,4,74.45,0,0,0,1,1,0,0,0,0,0,0,1,1,1,3,24.816666666666666,0,False,True,False,True,False,False,False,False,True,False
8884-FEEWR,0,35,20.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.6,0,False,False,True,False,True,False,True,False,False,False
0748-RDGGM,0,70,109.5,1,1,0,1,0,1,1,1,1,1,1,1,1,0,8,13.6875,3,False,True,False,False,True,False,True,False,False,False
0384-LPITE,0,40,62.05,1,0,0,0,0,1,1,1,0,1,1,0,1,0,6,10.341666666666667,3,True,False,False,False,True,False,False,True,False,False
7721-DVEKZ,0,1,19.65,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,19.65,0,False,False,True,True,False,False,False,False,False,True
6695-FRVEC,0,67,60.4,1,1,1,1,0,1,0,1,1,0,0,1,1,0,5,12.08,2,True,False,False,False,False,True,True,False,False,False
3211-AAPKX,0,20,98.55,1,0,0,1,1,0,0,0,1,1,1,1,1,1,6,16.425,0,False,True,False,True,False,False,False,False,False,True
4546-FOKWR,0,16,74.75,0,0,0,1,1,0,0,0,0,0,0,1,1,0,3,24.916666666666668,0,False,True,False,True,False,False,False,True,False,False
8017-LXHFA,1,23,94.75,0,0,0,1,0,0,1,0,0,1,1,1,1,1,5,18.95,1,False,True,False,True,False,False,False,False,True,False
5397-NSKQG,0,67,50.9,1,1,1,0,0,1,0,0,0,1,1,0,1,0,4,12.725,1,True,False,False,False,False,True,False,True,False,False
3590-TCXTB,0,1,20.35,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,20.35,0,False,False,True,True,False,False,False,False,False,True
2789-HQBOU,0,3,80.35,1,0,0,1,0,0,0,0,0,0,1,1,1,1,3,26.78333333333333,0,False,True,False,True,False,False,False,False,True,False
5203-XEHAX,0,34,64.35,0,0,0,1,0,1,1,0,0,0,1,0,1,1,5,12.87,2,True,False,False,False,True,False,False,False,True,False
1015-OWJKI,0,1,19.05,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,19.05,0,False,False,True,True,False,False,False,False,False,True
3043-TYBNO,0,3,60.65,1,0,0,1,0,0,0,0,1,0,1,0,1,1,4,15.1625,0,True,False,False,True,False,False,False,False,False,True
5919-VCZYM,0,2,20.05,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,20.05,0,False,False,True,True,False,False,False,False,False,True
8903-WMRNW,0,15,101.75,0,1,0,1,0,1,0,1,0,1,1,0,1,1,6,16.958333333333332,2,False,True,False,True,False,False,False,False,True,False
9732-OUYRN,0,49,19.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,19.0,0,False,False,True,False,True,False,False,True,False,False
2885-HIJDH,0,69,86.9,1,1,1,1,1,1,0,1,1,1,1,0,1,0,8,10.8625,2,True,False,False,False,False,True,True,False,False,False
7730-IUTDZ,0,43,75.2,1,0,0,1,0,1,0,0,0,0,0,1,1,1,3,25.066666666666666,1,False,True,False,True,False,False,False,False,True,False
0679-TDGAK,0,50,75.5,1,1,1,1,0,1,0,0,1,1,1,0,1,1,6,12.583333333333334,1,True,False,False,False,True,False,False,False,True,False
9259-PACGQ,0,34,62.65,0,1,0,1,1,1,1,0,1,0,0,0,1,1,6,10.441666666666666,2,True,False,False,True,False,False,False,False,True,False
2068-WWXQZ,0,46,20.05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.05,0,False,False,True,False,False,True,True,False,False,False
3668-QPYBK,0,2,53.85,1,0,0,1,0,1,1,0,0,0,0,1,1,1,4,13.4625,2,True,False,False,True,False,False,False,False,False,True
1991-VOPLL,0,9,19.05,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,19.05,0,False,False,True,True,False,False,False,False,False,True
7730-CLDSV,0,72,98.65,0,1,1,1,1,0,1,1,1,0,1,1,1,0,7,14.092857142857143,2,False,True,False,False,False,True,True,False,False,False
2649-HWLYB,0,65,76.15,1,1,0,1,1,1,0,1,1,0,1,0,1,0,7,10.87857142857143,2,True,False,False,False,False,True,True,False,False,False
5842-POCOP,0,5,88.9,0,1,0,1,0,1,0,1,0,0,1,1,1,1,5,17.78,2,False,True,False,True,False,False,False,False,False,True
2984-AFWNC,0,3,95.4,0,0,0,1,0,0,1,0,0,1,1,0,1,1,5,19.080000000000002,1,False,True,False,True,False,False,False,False,True,False
7825-GKXMW,0,1,45.8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,22.9,0,True,False,False,True,False,False,False,False,True,False
6134-KWTBV,0,62,23.4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,11.7,0,False,False,True,False,False,True,True,False,False,False
4079-WWQQQ,0,72,65.55,1,0,0,0,0,1,1,1,1,1,1,1,1,0,7,9.364285714285714,3,True,False,False,False,False,True,True,False,False,False
1302-UHBDD,1,20,89.95,1,0,0,1,0,0,0,0,0,1,1,0,1,1,4,22.4875,0,False,True,False,True,False,False,False,False,True,False
4032-RMHCI,0,41,35.4,0,1,1,0,0,1,0,1,0,0,0,0,1,0,3,11.799999999999999,2,True,False,False,False,True,False,False,True,False,False
2509-TFPJU,0,72,25.75,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,12.875,0,False,False,True,False,False,True,False,True,False,False
3092-IGHWF,0,67,87.4,1,1,1,1,1,0,1,1,0,0,0,0,1,1,5,17.48,2,False,True,False,False,True,False,False,False,True,False
6435-VWCCY,1,65,92.7,1,1,0,1,1,1,1,0,0,1,0,1,1,0,6,15.450000000000001,2,False,True,False,False,False,True,False,True,False,False
8180-AKMJV,0,1,44.55,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,22.275,0,True,False,False,True,False,False,False,True,False,False
2558-BUOZZ,0,47,94.8,1,0,0,1,1,1,1,0,0,1,0,0,1,0,6,15.799999999999999,2,False,True,False,False,True,False,True,False,False,False
6198-PNNSZ,0,56,109.8,0,1,0,1,1,1,1,1,0,1,1,0,1,0,8,13.725,3,False,True,False,False,True,False,True,False,False,False
3351-NQLDI,0,67,94.35,0,1,1,1,1,1,0,0,1,0,1,1,1,0,6,15.725,1,False,True,False,False,True,False,False,True,False,False
9058-CBREO,1,1,50.55,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,16.849999999999998,0,True,False,False,True,False,False,False,False,False,True
9700-ZCLOT,0,2,20.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,20.0,0,False,False,True,True,False,False,False,False,False,True
1112-CUNAO,1,15,89.85,0,0,0,1,1,0,1,0,0,0,1,0,1,1,5,17.97,1,False,True,False,True,False,False,False,False,True,False
2346-LOCWC,0,58,20.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,20.5,0,False,False,True,False,False,True,False,True,False,False
5931-FLJJF,1,7,70.1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,2,35.05,0,False,True,False,True,False,False,False,False,False,True
5906-CVLHP,0,45,54.15,0,1,1,1,0,0,1,0,1,0,0,1,1,0,4,13.5375,1,True,False,False,False,True,False,False,True,False,False
9500-LTVBP,0,35,80.05,0,0,0,1,1,0,0,0,1,0,0,0,1,0,4,20.0125,0,False,True,False,True,False,False,False,True,False,False
2209-XADXF,0,1,25.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,25.25,0,True,False,False,True,False,False,True,False,False,False
0921-OHLVP,0,22,83.05,1,0,0,1,1,0,0,0,0,0,1,0,1,1,4,20.7625,0,False,True,False,True,False,False,False,False,True,False
5839-SUYVZ,0,16,74.55,1,0,0,1,0,0,0,0,1,0,0,1,1,0,3,24.849999999999998,0,False,True,False,True,False,False,False,True,False,False
8204-YJCLA,1,72,64.8,1,1,1,0,0,1,1,1,1,1,1,1,1,0,7,9.257142857142856,3,True,False,False,False,False,True,True,False,False,False
8404-VIOMB,0,66,62.5,0,0,0,0,0,1,1,1,1,1,1,1,1,0,7,8.928571428571429,3,True,False,False,False,False,True,True,False,False,False
0496-AHOOK,0,24,74.4,1,1,0,1,0,1,0,0,1,1,1,0,1,0,6,12.4,1,True,False,False,False,True,False,True,False,False,False
7030-NJVDP,0,24,89.25,1,1,0,1,0,1,0,0,1,0,1,1,1,1,5,17.85,1,False,True,False,True,False,False,False,False,True,False
2481-SBOYW,0,61,25.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,12.5,0,False,False,True,False,False,True,False,True,False,False
1043-YCUTE,0,56,25.15,1,1,0,1,1,0,0,0,0,0,0,1,0,0,2,12.575,0,False,False,True,False,False,True,False,True,False,False
4658-HCOHW,0,21,102.8,0,1,1,1,0,0,1,1,1,1,1,1,1,1,7,14.685714285714285,2,False,True,False,True,False,False,False,False,True,False
2408-PSJVE,0,44,61.9,1,1,1,1,0,0,1,1,1,0,0,1,1,1,5,12.379999999999999,2,True,False,False,True,False,False,False,False,False,True
8443-WVPSS,0,10,99.85,1,1,0,1,0,0,1,0,1,1,1,1,1,1,6,16.641666666666666,1,False,True,False,True,False,False,False,False,True,False
5804-HYIEZ,0,70,106.05,1,1,1,1,1,1,1,0,0,1,1,1,1,1,7,15.15,2,False,True,False,True,False,False,False,False,True,False
3320-VEOYC,1,14,95.6,1,0,0,1,1,0,0,0,0,1,1,1,1,1,5,19.119999999999997,0,False,True,False,True,False,False,False,False,True,False
1508-DFXCU,0,12,81.45,1,0,0,1,0,0,0,0,0,1,0,1,1,1,3,27.150000000000002,0,False,True,False,True,False,False,False,False,True,False
7318-EIVKO,0,8,59.25,1,0,0,1,1,0,0,0,0,1,0,1,1,1,4,14.8125,0,True,False,False,True,False,False,False,False,True,False
0848-ZGQIJ,0,16,94.65,0,1,0,1,0,0,1,0,0,1,1,1,1,0,5,18.93,1,False,True,False,True,False,False,True,False,False,False
6904-JLBGY,1,72,117.35,0,0,0,1,1,1,1,1,1,1,1,1,1,0,9,13.038888888888888,3,False,True,False,False,False,True,False,True,False,False
1895-QTKDO,0,1,43.95,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,21.975,0,True,False,False,True,False,False,False,True,False,False
2050-ONYDQ,0,65,26.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,13.0,0,False,False,True,False,False,True,False,True,False,False
9494-BDNNC,0,66,95.3,1,1,0,1,1,0,1,1,0,0,1,0,1,1,6,15.883333333333333,2,False,True,False,False,True,False,False,False,True,False
3946-JEWRQ,0,47,95.2,1,1,0,1,1,0,0,0,0,1,1,1,1,0,5,19.04,0,False,True,False,False,True,False,False,True,False,False
8498-XXGWA,0,65,55.15,0,1,0,1,0,1,0,1,0,0,0,1,1,1,4,13.7875,2,True,False,False,True,False,False,False,False,False,True
4350-ZTLPI,0,53,108.95,0,1,0,1,1,0,1,1,1,1,1,1,1,0,8,13.61875,2,False,True,False,False,True,False,True,False,False,False
5832-EXGTT,0,29,60.2,1,1,1,1,0,1,0,0,0,0,1,1,1,1,4,15.05,1,True,False,False,True,False,False,False,False,False,True
7198-GLXTC,0,2,79.0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,3,26.333333333333332,0,False,True,False,True,False,False,False,False,True,False
1159-WFSGR,0,16,20.4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,20.4,0,False,False,True,True,False,False,False,False,True,False
6248-TKCQV,0,70,80.6,0,1,1,1,1,1,0,0,1,1,1,1,1,0,7,11.514285714285714,1,True,False,False,False,False,True,True,False,False,False
0345-XMMUG,0,46,108.9,0,1,0,1,1,0,1,1,1,1,1,1,1,0,8,13.6125,2,False,True,False,False,False,True,False,True,False,False
8149-RSOUN,0,1,93.85,0,0,0,1,1,0,0,0,0,1,1,1,1,1,5,18.77,0,False,True,False,True,False,False,False,False,True,False
9601-BRXPO,0,25,104.95,0,1,0,1,1,0,0,1,1,1,1,1,1,0,7,14.992857142857144,1,False,True,False,True,False,False,True,False,False,False
3346-BRMIS,1,18,48.35,0,1,0,0,0,0,0,1,0,1,1,1,1,1,4,12.0875,1,True,False,False,True,False,False,False,False,True,False
5893-KCLGT,0,72,19.75,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,19.75,0,False,False,True,False,False,True,False,False,False,True
6008-NAIXK,1,54,55.45,1,0,0,0,0,0,1,1,0,1,1,1,1,1,5,11.09,2,True,False,False,False,True,False,False,False,True,False
8043-PNYSD,0,63,19.55,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,19.55,0,False,False,True,False,False,True,False,False,False,True
7941-RCJOW,0,65,19.55,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,19.55,0,False,False,True,False,False,True,False,True,False,False
7996-MHXLW,0,66,25.15,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,12.575,0,False,False,True,False,False,True,False,True,False,False
1488-SYSFC,0,31,20.65,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,20.65,0,False,False,True,True,False,False,False,False,True,False
8433-WPJTV,1,65,103.9,0,1,1,1,1,0,0,1,1,1,1,1,1,0,7,14.842857142857143,1,False,True,False,False,True,False,True,False,False,False
2856-NNASM,1,43,89.55,1,0,0,1,0,0,0,0,0,1,1,1,1,1,4,22.3875,0,False,True,False,True,False,False,False,False,False,True
7853-GVUDZ,0,1,20.15,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,20.15,0,False,False,True,True,False,False,False,True,False,False
5542-NKVRU,0,42,20.75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,20.75,0,False,False,True,False,False,True,True,False,False,False
9600-NAXZN,0,43,101.4,1,0,0,1,1,0,1,0,0,1,1,1,1,1,6,16.900000000000002,1,False,True,False,True,False,False,False,False,True,False
9046-DQMTP,0,35,20.75,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.75,0,False,False,True,True,False,False,True,False,False,False
9938-PRCVK,0,41,19.7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,19.7,0,False,False,True,False,False,True,True,False,False,False
6979-ZNSFF,0,8,87.05,0,0,0,1,1,0,0,0,0,1,0,1,1,1,4,21.7625,0,False,True,False,True,False,False,False,False,True,False
7729-JTEEC,0,2,44.5,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2,22.25,0,True,False,False,True,False,False,False,False,True,False
0114-PEGZZ,0,33,107.55,0,0,0,1,1,0,1,1,0,1,1,0,1,1,7,15.364285714285714,2,False,True,False,True,False,False,False,False,True,False
1373-ORVIZ,0,11,66.35,0,1,1,1,1,0,0,0,1,0,1,1,1,1,5,13.27,0,True,False,False,True,False,False,False,False,True,False
6265-SXWBU,0,69,95.75,1,1,1,1,1,0,1,1,0,1,0,0,1,0,6,15.958333333333334,2,False,True,False,False,True,False,False,True,False,False
6522-YRBXD,1,35,94.55,1,1,0,1,1,1,1,0,0,0,1,1,1,1,6,15.758333333333333,2,False,True,False,True,False,False,False,False,True,False
2082-CEFLT,0,1,45.6,1,0,0,1,0,0,0,0,0,0,0,1,1,1,2,22.8,0,True,False,False,True,False,False,False,False,True,False
1582-RAFML,0,1,60.1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,5,12.02,1,True,False,False,True,False,False,False,False,False,True
2498-XLDZR,0,32,73.6,0,1,1,1,0,1,1,1,1,0,1,0,1,1,7,10.514285714285714,3,True,False,False,False,False,True,False,False,False,True
9489-JMTTN,0,72,89.75,0,1,1,1,1,1,1,1,1,1,1,0,1,0,9,9.972222222222221,3,True,False,False,False,False,True,False,True,False,False
1757-TCATG,0,35,20.05,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,20.05,0,False,False,True,False,True,False,True,False,False,False
6397-JNZZG,1,43,55.55,0,1,0,0,0,0,1,1,0,1,1,0,1,0,5,11.11,2,True,False,False,True,False,False,False,True,False,False
2121-JAFOM,0,72,115.55,0,1,0,1,1,1,1,1,1,1,1,1,1,0,9,12.838888888888889,3,False,True,False,False,False,True,False,True,False,False
9223-UCPVT,0,1,94.4,0,0,0,1,0,0,0,1,0,1,1,0,1,1,5,18.880000000000003,1,False,True,False,True,False,False,False,False,True,False
7850-VWJUU,0,23,75.0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,3,25.0,1,False,True,False,True,False,False,True,False,False,False
1385-TQOZW,0,9,20.45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,20.45,0,False,False,True,True,False,False,False,True,False,False
7673-LPRNY,0,23,78.55,0,0,0,1,1,1,0,1,0,1,1,1,1,1,7,11.221428571428572,2,True,False,False,False,True,False,False,False,True,False
7643-RCHXS,0,63,19.35,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,19.35,0,False,False,True,False,False,True,False,False,True,False
0847-HGRML,0,62,20.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20.0,0,False,False,True,False,False,True,True,False,False,False
9933-QRGTX,0,60,97.2,0,1,0,1,0,1,0,0,1,1,1,1,1,1,6,16.2,1,False,True,False,False,False,True,False,False,True,False
0872-NXJYS,0,9,79.55,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3,26.516666666666666,0,False,True,False,True,False,False,False,False,True,False
8169-SAEJD,1,69,56.55,1,1,0,0,0,1,1,0,0,1,1,0,1,0,5,11.309999999999999,2,True,False,False,False,False,True,False,True,False,False
7026-YMSBE,0,30,19.7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,19.7,0,False,False,True,False,True,False,False,False,False,True
3486-NPGST,0,36,19.55,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,19.55,0,False,False,True,False,True,False,False,False,False,True
2474-BRUCM,1,40,101.85,1,1,0,1,1,1,0,0,0,1,1,0,1,1,6,16.974999999999998,1,False,True,False,True,False,False,False,False,True,False
0520-FDVVT,0,35,102.35,1,0,0,1,0,0,1,1,0,1,1,1,1,0,6,17.058333333333334,2,False,True,False,False,True,False,True,False,False,False
8659-HDIYE,1,64,74.65,0,0,0,1,1,0,1,1,1,0,1,0,1,0,7,10.664285714285715,2,True,False,False,True,False,False,False,True,False,False
4106-HADHQ,0,39,80.0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,7,11.428571428571429,2,True,False,False,False,True,False,False,True,False,False
2636-SJDOU,0,64,84.3,1,0,0,1,1,1,1,0,0,0,0,1,1,0,5,16.86,2,False,True,False,False,True,False,False,True,False,False
9762-YAQAA,0,39,81.4,1,0,0,1,1,0,1,0,0,0,0,0,1,0,4,20.35,1,False,True,False,False,True,False,False,True,False,False
2229-VWQJH,0,24,49.3,0,0,0,1,0,0,0,1,0,0,0,1,1,0,3,16.433333333333334,1,True,False,False,True,False,False,False,True,False,False
9079-LWTFD,0,47,100.75,1,0,0,1,1,1,1,0,1,1,0,0,1,1,7,14.392857142857142,2,False,True,False,True,False,False,False,False,False,True
4742-TXUEX,0,47,19.3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,19.3,0,False,False,True,False,False,True,True,False,False,False
4789-KWMXN,0,47,110.85,1,1,0,1,1,1,0,1,1,1,1,1,1,0,8,13.85625,2,False,True,False,False,True,False,False,True,False,False
8984-HPEMB,0,71,118.65,0,0,0,1,1,1,1,1,1,1,1,1,1,1,9,13.183333333333334,3,False,True,False,False,False,True,False,False,True,False
7683-CBDKJ,0,14,65.45,1,1,1,1,0,1,1,0,0,1,0,1,1,1,5,13.09,2,True,False,False,True,False,False,False,False,True,False
7968-QUXNS,0,6,18.95,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,18.95,0,False,False,True,True,False,False,False,False,False,True
3727-JEZTU,0,1,20.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,20.4,0,False,False,True,True,False,False,False,False,False,True
6067-NGCEU,0,65,111.05,0,0,0,1,1,1,1,1,0,1,1,1,1,0,8,13.88125,3,False,True,False,True,False,False,False,True,False,False
6734-GMPVK,0,5,105.3,1,0,0,1,1,0,1,1,0,1,1,0,1,1,7,15.042857142857143,2,False,True,False,True,False,False,False,False,True,False
6551-ZCOTS,1,33,24.9,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,12.45,0,False,False,True,False,True,False,True,False,False,False
6137-MFAJN,0,48,44.8,0,0,0,0,0,1,1,0,0,1,0,1,1,1,4,11.2,2,True,False,False,True,False,False,False,False,True,False
0674-GCDXG,0,63,71.9,1,0,0,1,1,1,0,1,1,0,1,1,1,0,7,10.271428571428572,2,True,False,False,False,False,True,True,False,False,False
9068-FHQHD,0,40,20.15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,20.15,0,False,False,True,False,False,True,True,False,False,False
9734-YWGEX,0,9,98.3,0,0,0,1,1,0,0,1,0,1,1,0,1,0,6,16.383333333333333,1,False,True,False,True,False,False,False,True,False,False
1852-QSWCD,0,64,24.8,1,1,1,1,1,0,0,0,0,0,0,1,0,1,2,12.4,0,False,False,True,False,False,True,False,False,False,True
3027-ZTDHO,0,1,89.9,1,0,0,1,0,0,0,0,0,1,1,1,1,1,4,22.475,0,False,True,False,True,False,False,False,False,True,False
9392-XBGTD,0,27,20.6,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,20.6,0,False,False,True,False,False,True,False,False,False,True
9028-LIHRP,0,71,100.2,1,1,1,1,0,1,1,1,1,1,0,0,1,0,7,14.314285714285715,3,False,True,False,False,False,True,False,True,False,False
0164-APGRB,0,72,114.9,0,0,0,1,1,1,1,1,1,1,1,1,1,1,9,12.766666666666667,3,False,True,False,False,False,True,False,False,True,False
3196-NVXLZ,0,25,84.6,0,0,0,1,1,0,0,0,0,1,0,1,1,1,4,21.15,0,False,True,False,True,False,False,False,False,False,True
